row,column,cor,p
Otu001103,Otu001913,1,0
Otu001132,Otu001913,1,0
Otu001417,Otu001913,1,0
Otu001533,Otu001913,1,0
Otu001730,Otu001913,1,0
Otu001608,Otu001923,1,0
Otu000586,Otu001952,1,0
Otu000600,Otu001952,1,0
Otu000620,Otu001952,1,0
Otu000675,Otu001952,1,0
Otu000711,Otu001952,1,0
Otu000772,Otu001952,1,0
Otu000775,Otu001952,1,0
Otu000840,Otu001952,1,0
Otu000953,Otu001952,1,0
Otu001074,Otu001952,1,0
Otu001103,Otu001952,1,0
Otu001132,Otu001952,1,0
Otu001417,Otu001952,1,0
Otu001533,Otu001952,1,0
Otu001730,Otu001952,1,0
Otu001913,Otu001952,1,0
Otu000586,Otu001959,1,0
Otu000600,Otu001959,1,0
Otu000620,Otu001959,1,0
Otu000675,Otu001959,1,0
Otu000711,Otu001959,1,0
Otu000772,Otu001959,1,0
Otu000775,Otu001959,1,0
Otu000840,Otu001959,1,0
Otu000953,Otu001959,1,0
Otu001074,Otu001959,1,0
Otu001103,Otu001959,1,0
Otu001132,Otu001959,1,0
Otu001417,Otu001959,1,0
Otu001533,Otu001959,1,0
Otu001730,Otu001959,1,0
Otu001913,Otu001959,1,0
Otu001952,Otu001959,1,0
Otu000274,Otu001971,1,0
Otu000404,Otu001971,1,0
Otu000448,Otu001971,1,0
Otu000463,Otu001971,1,0
Otu000549,Otu001971,1,0
Otu000630,Otu001971,1,0
Otu000662,Otu001971,1,0
Otu000716,Otu001971,1,0
Otu000820,Otu001971,1,0
Otu000857,Otu001971,1,0
Otu000926,Otu001971,1,0
Otu000995,Otu001971,1,0
Otu001230,Otu001971,1,0
Otu001387,Otu001971,1,0
Otu001829,Otu001971,1,0
Otu000199,Otu002010,1,0
Otu000561,Otu002010,1,0
Otu000612,Otu002010,1,0
Otu000815,Otu002010,1,0
Otu000868,Otu002010,1,0
Otu001853,Otu002010,1,0
Otu000586,Otu002016,1,0
Otu000600,Otu002016,1,0
Otu000620,Otu002016,1,0
Otu000675,Otu002016,1,0
Otu000711,Otu002016,1,0
Otu000772,Otu002016,1,0
Otu000775,Otu002016,1,0
Otu000840,Otu002016,1,0
Otu000953,Otu002016,1,0
Otu001074,Otu002016,1,0
Otu001103,Otu002016,1,0
Otu001132,Otu002016,1,0
Otu001417,Otu002016,1,0
Otu001533,Otu002016,1,0
Otu001730,Otu002016,1,0
Otu001913,Otu002016,1,0
Otu001952,Otu002016,1,0
Otu001959,Otu002016,1,0
Otu000784,Otu002031,1,0
Otu001098,Otu002031,1,0
Otu000764,Otu002165,1,0
Otu000864,Otu002165,1,0
Otu001376,Otu002165,1,0
Otu001390,Otu002165,1,0
Otu001755,Otu002165,1,0
Otu000376,Otu002177,1,0
Otu000452,Otu002177,1,0
Otu000472,Otu002177,1,0
Otu000503,Otu002177,1,0
Otu000546,Otu002177,1,0
Otu000564,Otu002177,1,0
Otu000573,Otu002177,1,0
Otu000652,Otu002177,1,0
Otu000747,Otu002177,1,0
Otu000808,Otu002177,1,0
